school,type,ba_status,ba_url,ba_title,ba_note,lang_status,lang_url,lang_title,lang_note,ma_status,ma_url,ma_title,ma_note,lang_src,ma_src,ba_src
국립금오공과대학교,univ,2027_own,https://mobility.kumoh.ac.kr/ipsi/sub0502.do,2027학년도 재외국민 특별전형 모집요강,"입학안내 '재외국민 > 재외국민 자료실'에 '2027학년도 재외국민 특별전형 모집요강'(2026.06.01, articleNo=564449) 게시 확인. '2027학년도 재외국민 특별전형 기본계획 변경확정'(2026.05.29)도 게시. 주의: 이 요강은 재외국민(해외거주 한국국적) 특별전형이며 순수외국인 전용 요강은 별도 확인 필요.",2026_or_older,https://www.kumoh.ac.kr/iplec/sub06010102.do?mode=view&articleNo=567901&article.offset=0&articleLimit=10,2026년도 가을학기 국립금오공과대학교 한국어연수과정 모집 안내,"모집요강 게시판 최신: 2026년도 가을학기 모집 안내 (26-06-26), 2026년도 모집 요강 (25-10-31); 2027 없음",2026_or_older,https://www.kumoh.ac.kr/cam/sub030103.do,"2026학년도 후기 대학원 신입생 모집 요강 (일반전형, 외국인특별전형)","Official 일반대학원 notice list: latest is 2026 후기 (2026-05-06) and 2026 전기 (2025-11-07) 대학원 신입생 모집 요강 (일반전형, 외국인특별전형). mobility.kumoh.ac.kr '2027학년도 재외국민 특별전형' is UNDERGRADUATE. No 2027 graduate guide yet.",https://www.kumoh.ac.kr/iplec/sub06010102.do,https://drive.google.com/file/d/1lOiJBtH0EGccuwbCz4ia6KACTAg9G-D1/view,https://drive.google.com/file/d/1XGN8PgGQPhN_f6c2kpeoTFsbwDEE8_pM/view
국립목포대학교,univ,2026_or_older,https://ipsi.mokpo.ac.kr/bbs/ipsi/223/166803/artclView.do?layout=unknown,2026학년도 재외국민 및 외국인 신입생 전기모집요강 공고,"입학처 게시판에서 최신 재외국민/외국인 요강이 '2026학년도 재외국민 및 외국인 신입생 전기모집요강 공고'(원서접수 2025.12.29~, 담당 국제협력처)까지 확인. 2027학년도 외국인/재외국민 모집요강은 검색(4회) 및 MOE 재외교육기관포털 2027 목록 모두에서 미발견.",2026_or_older,https://oia.mokpo.ac.kr/bbs/iiee/155/280933/artclView.do,[한국어 어학연수] 2026학년도 한국어 어학연수 모집요강,"해당 공지가 2026학년도 모집요강 (등록 2026-01-23, 수정 2026-03-29); 2027 없음",2026_or_older,https://studyinkorea.mokpo.ac.kr/bbs/studyinkorea/2750/282228/artclView.do,"대학원 2026학년도 후기 신입생 모집요강 안내 (분류: Graduate, 국제협력교육실)","Official international office (studyinkorea.mokpo.ac.kr, 국제협력교육실) hosts 2026 후기 대학원 신입생 모집요강 (posted 2026-03-30; 1차 2026-04-06~24, 2차 06-08~26). ipsi.mokpo.ac.kr 2026 재외국민·외국인 전기모집요강 is UNDERGRADUATE. No 2027 graduate guide yet. (NOTE: mmu.ac.kr result was Mokpo Maritime — different school, rejected.)",https://oia.mokpo.ac.kr/bbs/iiee/155/280933/artclView.do,https://drive.google.com/file/d/1hteFQxjUF4MlJvEM3o0zJPGQ9i6v_7XS/view,https://drive.google.com/file/d/1Yrg2aJ1cJleanabMUtvgSCALQREAZWDR/view
국립목포해양대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,https://www.mmu.ac.kr/OE/board/185/1/read/88961,2026학년도 4차 겨울학기 한국어연수과정 신입생 모집 안내,한국어교육 공지 최신: 2026학년도 4차 겨울학기 모집 (2026-08-12); 2027 없음,2026_or_older,https://www.mmu.ac.kr/OA/board/136/1/read/88085,2026학년도 후기 일반대학원 외국인신입생 모집 요강,"일반대학원 입학안내 게시판 최신 외국인 요강 = 2026학년도 후기 (2026-05-13 등록, 2026-07-06 추가모집). 2027 전기(3월 입학) 요강은 2026년 하반기 발표 예정이라 아직 미게재. 학부 2027학년도 외국인 모집요강은 입학정보 사이트에 이미 존재하나, 이는 대학원이 아님.",https://www.mmu.ac.kr/OE/board/185,https://drive.google.com/file/d/1z6wk5FZLgS1IBrdRVRCZNMJ-exrir8l6/view,https://drive.google.com/file/d/1mZCjmh6ob3Ixs_OYiymgIySZIcTiDwGP/view
국립부경대학교,univ,2027_own,http://admission.pknu.ac.kr/,2027학년도 재외국민 특별전형 모집요강 (국제교류본부 Admission Guide),부경대 국제교류본부 입학안내(admission.pknu.ac.kr)에서 학부 Admission Guide에 2027년 3월(Spring 2027) 입학학기 안내 확인. MOE 재외교육기관포털 2027 재외국민 특별전형 모집요강 목록에 국립부경대학교 등재(2027학년도 재외국민 특별전형 모집요강 최종본 2026.05.26자 존재). 2027 재외국민 전용 요강 확인됨.,2026_or_older,http://admission.pknu.ac.kr/pdf/Admission_Guidebook_for_the_PKNU_Korean_Language_Program_2026.pdf,연수과정 모집요강 (PKNU Korean Language Program 2026),국제교류본부 사이트: 한국어연수과정 모집요강 PDF가 2026 버전 (Admission_Guidebook...2026.pdf); https는 인증서 오류로 http 사용; 2027 없음,2026_or_older,http://admission.pknu.ac.kr/,2026학년도 1학기 외국인 학부 및 대학원 신입생 모집 안내 (가장 최근 발표),"국제교류본부 입학안내 페이지에 2027년 3월(Spring 2027) 입학 예정 공지됨 (신청 2026.10~11 예정) — 아직 2027 요강은 발표 전. 최근 발표 요강 = 2026학년도 1학기(2025-11-06, 국제교류본부). 부경대 일반대학원 외국인 모집은 studyinkorea/국제교류본부 통해 실시.",https://admission.pknu.ac.kr/,https://drive.google.com/file/d/1RJlhpZfLVcuBaR5ipkbVwsmGdF6WPUVy/view,https://drive.google.com/file/d/1xO2Shwfa_71bavZqJENyOrjjK_f6Nezu/view
국립순천대학교,univ,2027_own,https://ama.scnu.ac.kr/iphak/na/ntt/selectNttList.do?bbsId=2487,2027학년도 재외국민과 외국인 특별전형 모집요강 안내,입학안내 게시판(bbsId=2487)에 '2027학년도 재외국민과 외국인 특별전형 모집요강 안내'(2026) 및 '...모집요강(수정) 안내' 두 건 게시 확인. MOE 재외교육기관포털 2027 재외국민 요강 목록에도 등재. 재외국민+외국인 합본 2027 요강.,2026_or_older,,,외국인입학 게시판 최신 한국어학당 공지: 2026-2학기 한국어학당 모집 안내 (2026-05-13); 2027 없음,2026_or_older,https://www.scnu.ac.kr/ials/na/ntt/selectNttList.do?mi=2045&bbsId=1411,2026-Fall semester Graduate admission guide for Int'l students (국제교류교육본부),"일반대학원 모집요강 = 2026학년도 후기(현행). 국제교류교육본부 게시판 최신 대학원 외국인 요강 = 2026-Fall (2026-05-12), 2026-Spring 추가 (2025-12). 2027 전기 요강 미발표. (학부 입학안내 게시판의 2027 재외국민·외국인 특별전형은 학부용)",https://www.scnu.ac.kr/ials/cm/cntnts/cntntsView.do?mi=1844&cntntsId=1583,https://drive.google.com/file/d/134PLk6ZSktcSRg1WN_Ie3o99UCo4VBt1/view,https://drive.google.com/file/d/11e6bsaO7brMATjYBMJHeGK8hNFgdnJBv/view
국립창원대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2026_or_older,,,"한국어학당 입학안내: Education Schedule (Scheduled for 2026 Academic Year), 겨울학기 26.12.1~27.2.12; 2027 안내 없음",2026_or_older,https://www.changwon.ac.kr/gs/na/ntt/selectNttList.do?mi=6197&bbsId=2107,2026학년도 전기/후기 대학원 신입생 모집 안내 (일반대학원 입시안내게시판),"국제처(International Students) 게시판 및 일반대학원 입시안내게시판 모두 최신 = 2026 (전기 합격 2025-12, 후기 2026). 2025학년도 학부·대학원 외국인 모집요강은 2024-10-14 게시됨. 2027 전기(10~11월 모집) 요강 미발표.",https://www.changwon.ac.kr/international/cm/cntnts/cntntsView.do?mi=18689&cntntsId=6832,https://drive.google.com/file/d/1_W8Ec5oH45VIVEdZl1xjj9YsSiCC2xqJ/view,https://drive.google.com/file/d/1wmlRIy0yvNn7M7C2kM2k0UEdJjHYXhw3/view
국립한국교통대학교,univ,2027_own,https://www.ut.ac.kr/cop/bbs/BBSMSTR_000000000661/selectBoardArticle.do?nttId=1122317,2027학년도 재외국민과 외국인 특별전형 신입생 모집요강 공고,"공식 사이트(국립한국교통대 입학과 공지, 공고 제2026-154호, 2026.05.29)에 '2027학년도 재외국민과 외국인 특별전형 신입생 모집요강 공고' 게시 확인. 재외국민+외국인 합본 2027 요강. MOE 재외교육기관포털 2027 재외국민 요강 목록에도 등재.",2026_or_older,,,"한국어교육 notice board stale (latest 2023-12); 자료실 annual posts through 2026-03-30, no 2027",2026_or_older,https://www.ut.ac.kr/cop/bbs/BBSMSTR_000000000059/selectBoardArticle.do?nttId=1122760,"2026학년도 대학원 신입생 모집 (후기-추가, 일반·외국인·위탁 전형)","대학원 공지 최신 = 2026학년도 후기(추가) (2026-06-18), 외국인 특별전형 포함(재외국민·외국인 Spring Admission). 전기 2027 요강은 통상 11월 발표 예정이라 미게재. 대학원 홈페이지 ut.ac.kr/dhw.",https://www.ut.ac.kr/iec/sub04_05.do,https://drive.google.com/file/d/1JPnb2Z0MA3aJYSYbeu1WyFMn5EyWq63E/view,https://drive.google.com/file/d/1YhKdE3Qzj1v3DxemKCNBQyRfi-B39UaM/view
국립한국해양대학교,univ,2027_own,https://www.kmou.ac.kr/ipsi/na/ntt/selectNttInfo.do?nttSn=10375147&mi=3298&currPage=1,2027학년도 재외국민 특별전형 모집요강,입학본부 홈페이지(kmou.ac.kr/ipsi)에 '2027학년도 재외국민 특별전형 모집요강'(nttSn=10375147) 및 '2027학년도 재외국민 특별전형 원서접수 바로가기'(uwayapply 2027/fores/kmou) 게시 확인. 2027학년도 수시모집 요강도 동시에 게시. MOE 재외교육기관포털 2027 재외국민 요강 목록에도 등재. (재외국민 특별전형 요강 — 순수외국인 전용 요강은 별도 확인 필요),2026_or_older,,,Course Schedule for Year 2026 (1-4 semesters); notice board only 2026 3rd sem application (2026-03-13),2026_or_older,https://www.kmou.ac.kr/graduate/na/ntt/selectNttInfo.do?nttSn=10374281&mi=5660&currPage=1,2026학년도 후기 일반대학원 외국인 신입생(정원외) 모집 안내 (Fall 2026),"일반대학원 공지사항 최신 외국인 요강 = 2026학년도 후기 (Graduate School Admission Guide, Fall 2026). 2027 전기 요강 미발표 (전기 2026은 2025년 하반기 발표된 바 있음).",https://www.kmou.ac.kr/global/cm/cntnts/cntntsView.do?mi=2702&cntntsId=2296,https://drive.google.com/file/d/16NHH89_Z-QUtMQQbgpEmUyVH-EKEPSF6/view,https://drive.google.com/file/d/19DKDlr_LEjCSXiIAwHIll1DV10Q3IxPd/view
국립한밭대학교,univ,2026_or_older,https://www.hanbat.ac.kr/admission/sub04_010101.do,외국인전형 모집요강 (Int'l Students Application Guide) - 2026학년도 파일,"입학안내 'Int'l Students > Application Guide(모집요강) > 외국인전형 모집요강' 페이지에 게시된 요강 PDF(FileDown FILE_000000015722Fk9)를 직접 다운로드해 확인한 결과 2026학년도 요강(원서접수 2026.4.13~5.8, 면접 2026.5.21, 합격발표 2026.6.2 등 2026 일정)임을 확인 — 2027학년도 아님. MOE 재외교육기관포털 2027 재외국민 요강 목록에도 미포함. 2027 외국인전형 요강은 미게시.",unknown_year,,,"Korean program Admission/Course pages show no year; OIA Notice latest 2026-08-24, no 2027 guide found",2026_or_older,https://www.hanbat.ac.kr/bbs/BBSMSTR_000000000476/view.do?nttId=B000000166489Ro2jC1u&mno=sub06_01,"2026학년도 후기 대학원 신입생 모집 안내 (Fall 2026, 외국인 원서접수 별도)",일반대학원 공지 및 자료실 최신 = 2026학년도 후기(2026-06). 외국인은 일반대학원 원서접수(외국인) 별도 URL로 안내. International Applicants Admission Guide(영문 절차 페이지)는 연도 무관. 2027 전기 요강 미발표.,https://www.hanbat.ac.kr/global/sub05_01.do,https://drive.google.com/file/d/1ol--C78znRzyergIbvDmEPA_Mvspw9eI/view,https://drive.google.com/file/d/1lNXsXvLaegvDW3F1r8QGfVb63miTHBvw/view
국민대학교,univ,2027_own,https://admission.kookmin.ac.kr/foreigner/notice.php?ctype=view&s_key=&s_word=&page=0&no=1072,2027학년도 국민대학교 재외국민과 외국인 특별전형 모집요강 재게시,"입학안내 '외국인 > 공지사항'에 '2027학년도 국민대학교 재외국민과 외국인 특별전형 모집요강 재게시(2026.6.22)' 공지 확인(no=1072, 지원자격 서류 문구 수정 후 재게시). 원본 2027 요강(2026.05.29 작성) 존재. 재외국민+외국인 합본 2027 요강. MOE 재외교육기관포털 2027 재외국민 요강 목록에도 등재.",2026_or_older,https://iie.kookmin.ac.kr/files/recruitment_2026_2_kor.pdf,2026학년도 모집요강 (국문),모집요강 section shows 2026학년도 (recruitment_2026_2_kor.pdf); 학사일정 covers 2026 semesters only,2026_or_older,https://iat.kookmin.ac.kr/admission/community/notice/656,2026학년도 후기 2차모집 일반대학원 외국인 특별전형 모집 (Fall 2026),국제교류팀(IAT) 일반대학원 외국인 특별전형 공지 최신 = 2026 후기 2차 (2026-07-02). 2026 전기 정시는 2025-10-02 게시됨. 2027 전기(Spring 2027) 요강은 2026년 10월경 발표 예정이라 아직 미게재.,https://iie.kookmin.ac.kr/,https://drive.google.com/file/d/1cPM5NKDAfgEqG5rcr4VFzth8tYaXTpmx/view,https://drive.google.com/file/d/1SlmJtqkza_NSjIuF4hLXRttrn_AfCrrA/view
극동대학교,univ,2026_or_older,https://www.kdu.ac.kr/ipsi/sub.do?mncd=1354,2026학년도 신입학(9월) 외국인 모집안내,"입학처 '재외국민/외국인' 공지사항 게시판(mncd=1354) 최신 항목이 '2026학년도 신입학(9월) 외국인 모집안내'(2026-07-28), '2026학년도 편입학(9월) 외국인 모집안내'(2026-06-15), '2026학년도 신입학(3월) 외국인모집 안내'(2025-09-01), '2026학년도 재외국민과 외국인(2%이내) 모집요강'(2025-05-30)까지 — 2027 재외국민/외국인 모집요강 미발견. MOE 2027 재외국민 요강 목록에도 미포함. (참고: 2027학년도 수시모집요강은 게시 중이나 외국인 특화 가이드 아님)",2026_or_older,,,국제언어교육원 NOTICE: only 2026학년도 가을학기 (2026-08-10) + TOPIK; no 2027 guide,unknown_year,,,"공식 도메인 kdu.ac.kr 확인 (해외 소재 국제학생 장학/수업료 페이지에 대학원 학부 포함 정보 존재, mncd=914). 그러나 대학원 외국인 모집요강을 6가지 검색어로 탐색해도 연도 특정 요강 URL 미확인; 사이트가 JS 렌더링/접속 제한으로 게시판 접근 어려움. 대학원 외국인 학생 모집 자체는 하고 있음(유학생 555명 중 석사 37명). 연도 특정 안 되어 unknown_year 처리.",https://www.kdu.ac.kr/home/sub.do?mncd=2156,https://drive.google.com/file/d/1-P2AF9hR5gwHTz1JDUk3X5d1KyXifp7n/view,https://drive.google.com/file/d/1StLshQ2d0GmIVKiko_1BlNjZnlYjwQuk/view
금강대학교,univ,2027_adiga,adiga_2027 (downloaded),,,?,,,,?,,,,,,https://drive.google.com/file/d/1IUAZWnN9Cjy4Tg6I12a2kzo742G8vFIq/view
김천대학교,univ,2026_or_older,https://ibhak.gimcheon.ac.kr/site/ibhak/html/sub5/0501.html,외국인 신입학 안내 및 모집요강 (2026학년도 9월학기),"입학처 '외국인 > 신입학' 페이지(외국인 특별전형, TOPIK 3급 기준, 접수처 국제교류처)에 게시된 모집요강 문서(파일다운로드 file_id=12ao33c3ll7x0vlnsxlrj53sphwh0a)를 직접 다운로드해 확인한 결과 '2026학년도 9월학기 외국인 신입학 모집요강'(원서접수 2026.7.10~7.15)임을 확인 — 2027 아님. MOE 2027 재외국민 요강 목록에도 미포함. 2027 외국인 모집요강 미발견.",2026_or_older,https://iec.gimcheon.ac.kr/_prog/download/?file_id=rzm0noxeuc8tzf0okde2j99axecpsw,2026학년도 가을학기 신입 어학연수생 모집 요강,입학요강 download is 2026학년도 가을학기 연수생 모집 요강 PDF; notice board all 2026; 2027 학사일정 tab exists but only shows Dec-Feb 2026 end,?,,,,https://iec.gimcheon.ac.kr/,,https://drive.google.com/file/d/1vUOPhvt8Le-kRyjF4zQfcOrdKq-z5Gop/view
나사렛대학교,univ,2027_own,https://ipsi.kornu.ac.kr/bbs/ipsi/896/117082/artclView.do,2027학년도 재외국민과 외국인 특별전형 모집요강,공식 입학처에 2027학년도 재외국민과 외국인 특별전형 모집요강 PDF 게재(2026-06-01 공지),?,,,,?,,,,,,https://drive.google.com/file/d/1Htj8olRBgKpKyHGR47-oxAKDcsmGgXRG/view
남부대학교,univ,2026_or_older,,,"대외협력처 모집요강 게시판에 2026 외국인 유학생 모집요강(국/중/영/베트남어)만 확인, 2027 외국인 가이드 미게재",2026_or_older,,,"입학안내 shows 2025 schedule; 언어교육원 모집요강 board has only 2026학년도 (국문/중문/영문/베트남어, 2025-10-17)",2026_or_older,https://global.nambu.ac.kr/board/GLOBAL_BOARD_0006/boardList.do?menuCd=dept_globa002003002,2026학년도 외국인 유학생 모집 요강 (국문/영문/중문/베트남어),대외협력처 게시판에 2026학년도 외국인 유학생 모집요강 4개 언어본 게시 (2025-10-17). 2027 버전은 2026년 10월경 발표 예정이라 아직 미게재.,https://global.nambu.ac.kr/content/view.do?menuCd=dept_globa002003,https://drive.google.com/file/d/1Sgj-WuCekegrN9R0okW2KbS5LTCfHx0m/view,https://drive.google.com/file/d/1Ozl4jYzSStuKuodCKlvevVLfUreJP5t3/view
남서울대학교,univ,none,,,,2026_or_older,,,"공지사항 latest: 2026-가을학기 한국어과정 (2026-08-20), 2026-봄학기; no 2027 guide",?,,,,https://nice.nsu.ac.kr/?p=26,,
단국대학교,univ,2027_adiga,adiga_2027 (downloaded),,,2027_guide,https://klc.dankook.ac.kr/-11,일정 및 입학안내 — 2027학년도 봄/여름/가을/겨울 수업 일정 (접수기간 포함),일정 및 입학안내 page lists full 2027 schedule (2027 봄 2026.12.07~2027.01.08 접수 etc.) incl. dorm fees,2026_or_older,https://grad.dankook.ac.kr/-94,2026학년도 전기·후기 대학원 신편입학 전형 모집 안내 ([외국인전형] 공지 포함),"일반대학원 입학공지 게시판에 [외국인전형] 공지 포함하여 학기별 모집. 최신 = 2026 후기(2026-04-13), 2026 전기(2025-10-16). 2027 전기 요강은 2026년 10월경 발표 예정이라 미게재. (학부 2027 재외국민·외국인 특별전형은 입학처에 이미 게재되어 있으나 학부용)",https://klc.dankook.ac.kr/,https://drive.google.com/file/d/1dLVfgYj_jYkln3t8AWmKke06O2bctUyf/view,https://drive.google.com/file/d/1e2E2to5j5uIUlCQq4xqbjzMOwVhu3FuW/view
대구가톨릭대학교,univ,2026_or_older,,,"외국인모집요강 PDF는 2026학년도 후기 신·편입학 모집요강, 재외국민 2027 특별전형만 공지됨",2026_or_older,,,KLEI notice board: latest 'คู่มือศึกษาต่อ สถาบันภาษา DCU' 2026-06-18 + 2026 유학 안내 guides; no 2027,2026_or_older,https://graduate.cu.ac.kr/sub03/sub02.htm,2026학년도 후기 2차 외국인 신입생 모집요강 (일반대학원 외국인 입시전형),일반대학원 외국인 입시전형 게시판 최신 = 2026학년도 후기 2차. 학석사연계 안내에 따르면 2027학년도 전기 외국인 모집은 2026년 11월 예정이라 아직 미게재.,https://academics.cu.ac.kr/home/detail/etc/klei/,https://drive.google.com/file/d/1FFbinN530QBByWnXkgGjGQe-ROCSo_tZ/view,https://drive.google.com/file/d/1PRToucvNNH5t5rvmvvl6kqi44Sa6n8ne/view
대구대학교,univ,2026_or_older,,,"외국인 모집요강 PDF는 2026학년도 제2학기 신편입학 외국인특별전형, 2027 재외국민 특별전형만 공지됨",2026_or_older,,,강좌안내 일정표 shows 2025 & 2026 semesters only; no 2027 guide,2026_or_older,https://grad.daegu.ac.kr/,2026학년도 후기 일반대학원 외국인 신입학 추가모집 안내,"일반대학원 공식 사이트(grad.daegu.ac.kr) 메인에 2026학년도 후기 외국인 신입학 추가모집 안내만 게재. 2027학년도 외국인 모집요강 미발견 (2026.8 기준, 전기 모집요강은 9-11월경 발표 예정으로 보임).",https://www.daegu.ac.kr/dept/955/detail,https://drive.google.com/file/d/1pUWM8P31kEwUqzYmoD_UG6Ftulq5EYXE/view,https://drive.google.com/file/d/1oYNeTGWtUi12vSY4OONiEzThCWOo8rLW/view
대구예술대학교,univ,2026_or_older,,,"입학처 외국인 공지에 2026학년도 1/2학기 순수외국인 특별전형 모집요강만 확인, 2027 미게재",?,,,,?,,,,,,https://drive.google.com/file/d/1vPp7PEhxER7YnBUWEIAPPxdj5ohfq6H6/view
대구한의대학교,univ,2026_or_older,,,"외국인 신입학/편입학 모집요강 PDF 모두 2026학년도 후기 기준, 2027 외국인 가이드 미확인",2026_or_older,,,한국어어학연수과정 page shows 2026학년도 등록/입학/수업 일정; no 2027,2026_or_older,http://www.dhu.ac.kr/HOME/graduate/sub.htm?nav_code=gra1635817150,2026학년도 후기 대학원별 신입생 추가모집 안내(일반전형 및 외국인전형),대학원 공지사항에 2026학년도 후기 신입생 추가모집(일반/외국인전형)이 최신. 2027학년도 대학원 외국인 모집요강 미발견.,http://www.dhu.ac.kr/HOME/exchange/sub.htm?hmode=p&nav_code=exc1574837612,https://drive.google.com/file/d/1AysaOsDQLNUlE5GN5Ze8CB_ldYeIJZez/view,https://drive.google.com/file/d/1MH5jrnU9u8XVk0CllyHc8KnzPAKTZH01/view
대신대학교,univ,2026_or_older,,,"외국인 모집요강 페이지에 2026년도 후기 외국인 입학 모집요강만 게재, 2027 미게재",2026_or_older,https://www.daeshin.ac.kr/upfile/data/2025/10/2026%ED%95%99%EB%85%84%EB%8F%84%20%ED%95%9C%EA%B5%AD%EC%96%B4%EA%B5%90%EC%9C%A1%EA%B3%BC%EC%A0%95%20%EB%AA%A8%EC%A7%91%EC%9A%94%EA%B0%95.hwp,2026학년도 한국어교육과정 모집요강,Curriculum shows 2026 semesters; 모집요강 is 2026학년도 한국어교육과정 모집요강.hwp,?,,,,https://www.daeshin.ac.kr/html/03_edu/03_4_1.php,,https://drive.google.com/file/d/1U_trFi5thSaJxU1obzsnetbMZo9y8RGD/view
대전가톨릭대학교,univ,2027_adiga,adiga_2027 (downloaded),,,?,,,,?,,,,,,https://drive.google.com/file/d/1A6smIYubcbD9U4RoBjCTevL5qJ6AvMpW/view
대전대학교,univ,2027_adiga,adiga_2027 (downloaded),,,unknown_year,,,한국어교육센터 section shows semester fees/schedule with NO year; 학부/대학원 degree guides are 2026학년도; no dedicated lang guide page found,2026_or_older,https://www.dju.ac.kr/gdhl/main.do,2026학년도 후기3차 신(편)입학전형 공지(외국인 전형 포함),대학원 홈페이지(gdhl/main.do) 학사공지에 2026학년도 후기3차 신편입학전형이 최신. 국제교류원 외국인 유학생 입학 가이드 페이지는 연도 미표기 일반 안내. 2027학년도 대학원 외국인 모집요강 미발견.,https://www.dju.ac.kr/intro/global/cntnts.html?mi=7425#lang-center,https://drive.google.com/file/d/18BMusdmPPeJJs_7s3fm5SAyBcSQeNik7/view,https://drive.google.com/file/d/1LbZPVL9bdXfuUsboB85cEBywfEaE8ctE/view
대진대학교,univ,2026_or_older,,,"입학처 공지/자료실에 2026 외국인 특별전형(정원외) 모집요강만 확인, 2027 미게재",2026_or_older,,,한국어교육센터 운영 중단 (Operation Suspended 2022-08-22 notice); course page shows no year; no guide exists,2026_or_older,https://grad.daejin.ac.kr/grad/5697/subview.do,2026학년도 후기 각 대학원 외국인 특별전형 신/편입학 모집 일정 안내,대학원 입학 > 외국인전형(정원외) 페이지에 2026학년도 후기 외국인 특별전형 신/편입학 모집요강이 최신. 2027학년도 미발견.,https://www.daejin.ac.kr/abroad/5220/subview.do,https://drive.google.com/file/d/1Ah_DNhY_5mQur8k7Yr9p45HL61vSpDZP/view,https://drive.google.com/file/d/1HSCkTtVuCwuZ3YJC6mCKau8fgRObxp1O/view
덕성여자대학교,univ,2027_adiga,adiga_2027 (downloaded),,,error,,,"Domain dilc.ds.ac.kr is hijacked/unstable: loads random unrelated universities (부산외국어대 BUFS, 건국대, 성신여대) and never the 덕성 language center after 4 attempts.",?,,,,https://dilc.ds.ac.kr/main/eng_main.php,,https://drive.google.com/file/d/1A0HpsdUdvp8RVpbnPtoGBHrNaBW9_V0r/view
동국대학교,univ,2027_own,https://ipsi.dongguk.ac.kr/article/notice/detail/111277,2027학년도 재외국민과 외국인 특별전형 모집요강,WISE캠퍼스 입학처에 2027 재외국민과 외국인 특별전형 모집요강 PDF 공지(2026-05-29); 서울캠퍼스 국제학생팀(iadmission.dongguk.edu)은 26-2 모집요강 게재,2026_or_older,https://interlang.dongguk.edu/bbs/board.php?bo_table=interlang2_10&wr_id=1,어학원 홍보 2025 (모집요강 게시판),"Real 동국대 한국어교육원 loaded (domain also unstable). 모집요강 board has only one notice '어학원 홍보 2025' (2024-11-27); no 2026/2027 guide posted, home shows 2026 semester event notices only.",2026_or_older,https://iadmission.dongguk.edu/dkglobal3_3_2/1,2026-2학기 일반대학원 외국인 입학전형 특별전형 모집요강,글로벌학생팀 외국인 입학 홈페이지(iadmission.dongguk.edu) 일반대학원 모집요강에 2026-2학기 특별전형만 게재. 일반대학원(gs.dongguk.edu) 모집요강도 2026학년도 전기까지. 2027학년도 미발견.,https://interlang.dongguk.edu/index_kr.php,https://drive.google.com/file/d/1pFhOlG7zazgODljiWt08h3mKZsBWAQsw/view,https://drive.google.com/file/d/1efYIRu4G_K2Nr9MtfQgXpva8aJUCUi1e/view
동덕여자대학교,univ,2027_own,https://ipsi.dongduk.ac.kr/ipsi/contents/info-list.do,2027학년도 재외국민과 외국인 모집요강,입학처 입학정보지에 2027학년도 재외국민과 외국인 모집요강 게재(2026-06-26),unknown_year,,,Real 동덕여대 한국어교육원 loaded on 3rd attempt (unstable domain). 입학 안내 page has no year; 공지사항 stale (2024 posts). No dated guide / 2027 found.,2026_or_older,https://grad.dongduk.ac.kr/grad/contents/gradinfo.do?schM=view&id=91700,[대학원] 2026학년도 후기 대학원 신·편입학 모집공고(일반/특수/전문대학원),대학원 입학안내에 2026학년도 후기 모집공고 및 모집요강 PDF가 최신. 국제교류협력실 외국인 입학안내 페이지(intl2.dongduk.ac.kr/page/page23)는 연도 미표기 일정 안내. 2027학년도 대학원 외국인 모집요강 미발견.,https://kli.dongduk.ac.kr/,https://drive.google.com/file/d/1_KZNhT2kTAU73CSb0p8hf0JDQr7vZIct/view,https://drive.google.com/file/d/1BI1HN5Cm8CG93KGf1cDp4EuXqE-sSK11/view
동명대학교,univ,2026_or_older,,,"국제교류처 공지에 2026학년도 1/2학기 외국인유학생 특별전형 모집 안내만 확인, 2027 미게재",2026_or_older,https://www.tu.ac.kr/kli/sub06_01.do,"2025학년도 글로벌교육센터 연간 모집요강 (공지, 2024-09-26)","Real 동명대 한국어학당 loaded on 2nd attempt (unstable domain). Latest recruitment notices are 2025학년도 (연간 모집요강 2024-09, 여름학기 2025-02); 정규과정 page shows 2024 schedule. No 2026/2027.",2026_or_older,https://www.tu.ac.kr/global/sub05_01.do?mode=view&articleNo=150106,"2026학년도 2학기 학부, 대학원 외국인유학생 특별전형 모집 안내",국제교류 홈페이지 공지사항에 2026학년도 1학기(2025.10 게시) 및 2학기 학부·대학원 외국인유학생 특별전형 모집 안내가 최신. 2027학년도 대학원 외국인 모집요강 미발견 (2027-1학기 안내는 2026.10경 게시 예상).,https://www.tu.ac.kr/kli/index.do,https://drive.google.com/file/d/1B04iIu_tYyqTNy6hPiseEeUZlH0tGcH2/view,https://drive.google.com/file/d/1ibetJN1QujTjqjGwilw8n3AryZuzL-6q/view
