전형,가이드연도,순위,학교,영문명,지역,IELTS,TOPIK,자체시험,등록금최소,등록금최대,데이터사이언스관련학과,장학금,비고,가이드링크
외국인,2027,,을지대학교,Eulji University,대전광역시,5.5,3,Y,,,빅데이터인공지능전공 (Big Data and Artificial Intelligence Major) / 중독상담전공 (Addiction Counseling Major),"외국인유학생 장학금:   → 직전학기 성적 및 어학성적 기반 선발: 학비 20%~100% 차등 지급 / 순수 외국인 입학자 장학금:   → 전 학년(4년간) 수업료 지원 (성적에 따른 차등지급, 직전학기 성적 2.0 이상)",adiga 외국인 2027 PDF,https://drive.google.com/file/d/1JrQFKO0WqTWHyuXSFGzrYcHOQa9NvmDK/view
외국인,2027,,인제대학교,Inje University,경상남도,5.5,3,Y,,,AI컴퓨터학과 (Department of AI Computers),입학 장학금 A형: TOPIK 4급 이상 → 등록금 100% 감면 (외 2단계) / 입학 장학금 B형: TOPIK 6급 → 등록금 100% 감면 (외 3단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1Bcb6OhiWIQOwb5njO8LnRa6rwkyQTfRM/view
재외국민,2027,,전주대학교,Jeonju University,전라북도,5.5,3,Y,3491000,4560000,정보통신공학과 (Department of Information and Communication Engineering) / 데이터사이언스학과 (Department of Data Science) / 인공지능학과 (Department of Artificial Intelligence) / 컴퓨터공학과 (Department of Computer Engineering) / 산업디자인학과 (Department of Industrial Design),영어트랙 장학금 (신입생 첫 학기): TOEFL iBT 104 또는 IELTS 7.5 이상 → 등록금 70% 감면 (외 2단계) / 신입생 장학금(TOPIK 급수별): TOPIK 3급 이상 → 첫 학기 수업료 30% (외 3단계),2027 재외국민 모집요강,https://drive.google.com/file/d/1zxMbdl3NJbHNJ4YHyCF253LDYbGmkGez/view
외국인,2027,,제주대학교,Jeju University,제주특별자치도,,3,Y,1920000,2564000,산업응용경제학과 (Department of Industrial and Applied Economics) / 인공지능학과 (Department of Artificial Intelligence) / 공업디자인전공 (Industrial Design Major) / 데이터사이언스학과 (Department of Data Science) / 컴퓨터공학과 (Department of Computer Engineering) / 인공지능전공 (Artificial Intelligence Major),유학생 장학금 (A급/E급): TOPIK 5급 이상 → 등록금 전액 면제 (A급) (외 1단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1vr_v4J-s09ltZTCi6EkcreBDsFhMK3PG/view
외국인,2027,,청운대학교,Chungwoon University,충청남도,5.5,2,Y,3310500,4360500,뮤직트레이너학과 (Department of Music Trainer) / 컴퓨터공학과 (Department of Computer Engineering),"외국인 장학금(언어성적별 학비 감면): TOEFL IELTS 8.0 / TOEFL iBT 112 → 80% 학비 감면 (외 9단계) / 외국인 장학금(대학원 입학 첫 학기 TOPIK): TOPIK 2, 3급 → 20% 학비 감면 (외 1단계)",2027 부모 모두 외국인 전형,https://drive.google.com/file/d/1S3O21P6DuAc-Ym6Rn9zZcQDdC__Fnv0q/view
외국인,2027,,청주대학교,Cheongju University,충청북도,,,Y,,,산업디자인학과 (Department of Industrial Design) / 데이터사이언스학과 (Department of Data Science) / 인공지능소프트웨어학과 (Department of Artificial Intelligence Software),,adiga 외국인 2027 PDF,https://drive.google.com/file/d/1VKUOmm7fco-LXJqw5iIlVEdl7psAiouF/view
외국인,2027,,평택대학교,Pyeongtaek University,경기도,5.5,2,,3532000,4593000,융합소프트웨어학과 (Department of Convergence Software) / 정보통신학과 (Department of Information and Communication) / 데이터정보학과 (Department of Data and Information Science) / ICT융합학부 (School of ICT Convergence) / ICT환경융합학과 (Department of ICT Environment Convergence) / AI융합학과 (Department of AI Convergence),외국인 특별전형 합격자 첫 학기 장학금: TOPIK 6급 → 수업료 100% (외 9단계) / 외국인 특별전형 합격자 첫 학기 장학금(대학원): TOPIK 6급 → 수업료 100% (외 8단계),adiga 외국인 2027 PDF,https://drive.google.com/file/d/1rne2IwrPJ4K0xjzEipWj3ySwBN_GB1kG/view
외국인,2027,,한국성서대학교,KBU University,서울특별시,,4,,,,AI융합학부 (School of AI Convergence),,재외국민과 외국인 2027,https://drive.google.com/file/d/1bgOdOumm4_2QNbRgOUDRndXuTbaCpfaj/view
외국인,2027,,한국항공대학교,Korea Aerospace University,경기도,5.5,3,Y,3923000,5032000,AI자율주행시스템공학과 (Department of AI Autonomous Driving Systems Engineering) / 컴퓨터공학과 (Department of Computer Engineering) / 소프트웨어학과 (Department of Software),한국어 성적 우수자 장학금(Korean track): TOPIK 6급 → 첫학기 등록금 70% (외 3단계) / 영어 성적 우수자 장학금(English track): TOEFL iBT 96 이상 또는 IELTS 7.0 이상 → 첫학기 등록금 100% (외 2단계),재외국민과 외국인 특별전형 2027,https://drive.google.com/file/d/1jp_6ai7mziUlmgzHTUvfZWCmszwAnA7Y/view
외국인,2027,,한림대학교,Hallym University,강원도,5.5,2,Y,3575800,4644800,소프트웨어학부 (School of Software) / 인공지능융합학부 (School of Artificial Intelligence Convergence) / 데이터사이언스학부 (School of Data Science),순수 외국인 전형 외국인 신(편)입생 장학금(한국어트랙): TOPIK 6급 → 80% 감면 (외 4단계),재외국민및외국인 2027,https://drive.google.com/file/d/1ip5XMhSxJmzYqFk6nkXuRcYSKIaNeM4B/view
외국인,2027,,한서대학교,Hanseo University,충청남도,5.5,3,,,,헬리콥터조종학과 (Department of Helicopter Pilot Training) / 항공정비학과 (Department of Aircraft Maintenance) / 항공산업공학과 (Department of Aviation Industrial Engineering) / 공항행정학과 (Department of Airport Administration) / AI·SW학부 (School of AI and Software) / 항공AI소프트웨어학과 (Department of Aviation AI Software),"외국인 유학생 장학금(TOPIK):   → 300,000원 (1학기, 재학 중 1회)",adiga 외국인 2027 PDF,https://drive.google.com/file/d/1q_48GFwI2ys8cPrLD9dgopMKGjcYRIYJ/view
외국인,2026,,강원대학교,Kangwon National University,강원도,5.5,4,,1712000,2309000,"컴퓨터공학과 (Department of Computer Engineering) / 첨단AI공학과 (Department of Advanced AI Engineering) / 글로벌융합학부글로벌산업기술전공 (School of Global Convergence, Global Industrial Technology Major)","신입생 특별 장학금: TOPIK 4급 → 등록금 약 60% 면제 (외 5단계) / 신입생 특별 장학금 (일반대학 출신자): TOPIK 5 → 등록금의 약 50% 면제 (영어트랙: IELTS 7.0, TOEFL 94) (외 2단계)",2026 외국인 학부 전형,https://drive.google.com/file/d/1KuCiv2Zqql6KULMcAQ93daAesG5EeYmD/view
외국인,2026,,경일대학교,KIU University,경상북도,5.5,3,Y,2988100,3874077,철도운전시스템학부 (School of Railway Operation Systems),,2026 후기 재외국민과 외국인,https://drive.google.com/file/d/15P_yvxyIAQpCCq0nP8rhNW7fkYOs4fdG/view
외국인,2026,,광주대학교,Gwangju University,광주광역시,5.5,3,Y,3173000,3736000,산업디자인학과 (Department of Industrial Design) / 컴퓨터공학과 (Department of Computer Engineering) / 사이버보안경찰학과 (Department of Cybersecurity and Police) / AI소프트웨어학과 (Department of AI Software),입학장학금: TOPIK 3 → 40% 면제 (외 5단계) / TOPIK장학: TOPIK 5 → 수업료 50% (외 1단계),2026 외국인 신·편입 특별전형,https://drive.google.com/file/d/1lYrUqtAr-F2wo7NtJTNLM_YNdaqyaEFF/view
외국인,2026,,국립군산대학교,KSNU University,전라북도,,3,,2209000,3023000,컴퓨터정보공학과 (Department of Computer and Information Engineering) / 인공지능융합학과 (Department of Artificial Intelligence Convergence) / 임베디드소프트웨어학과 (Department of Embedded Software) / 소프트웨어학과 (Department of Software) / 산업디자인학부 (School of Industrial Design) / 데이터사이언스학전공 (Data Science Major),신입생장학금: TOPIK 4 → 등록금 전액 (입학금 제외) (외 2단계),2026 후기 외국인 학부,https://drive.google.com/file/d/1k2jkuo-7_kDxxyZIEcT6Lw01xcAsraRK/view
외국인,2026,,국립목포대학교,Mokpo University,전라남도,5.5,2,Y,1657500,2118000,인공지능공학과 (Department of Artificial Intelligence Engineering) / 컴퓨터학부 (School of Computer Science) / 컴퓨터공학전공 (Computer Engineering Major) / 융합소프트웨어전공 (Convergence Software Major) / 정보보호전공 (Information Protection Major),외국인 유학생 장학금: TOPIK 4 이상 → 등록금 전액 (외 4단계),2026 순수외국인,https://drive.google.com/file/d/1Yrg2aJ1cJleanabMUtvgSCALQREAZWDR/view
외국인,2026,,극동대학교,Far East University,충청북도,5.5,3,Y,,,항공정비학과 (Department of Aircraft Maintenance),"유학생 TOPIK 장학금: TOPIK 정규 TOPIK 3급 이상 (한국 내 응시) 취득 → 다음 학기 수업료 50% 감면 / 성적 우수자 장학금: GPA 출석 90% 이상, 성적 90점 이상 → 다음 학기 수업료 20% 감면",2026 재외국민과 외국인,https://drive.google.com/file/d/1StLshQ2d0GmIVKiko_1BlNjZnlYjwQuk/view
외국인,2026,,김천대학교,Gimcheon University,경상북도,5.5,2,,,,산업안전학과 (Department of Industrial Safety),,2026 외국인 특별전형,https://drive.google.com/file/d/1vUOPhvt8Le-kRyjF4zQfcOrdKq-z5Gop/view
외국인,2026,,대구가톨릭대학교,Daegu Catholic University,경상북도,5.5,4,Y,3454000,5407000,컴퓨터소프트웨어학부 (School of Computer Software) / 컴퓨터공학전공 (Computer Engineering Major) / 사이버보안전공 (Cybersecurity Major) / AI빅데이터공학과 (Department of AI Big Data Engineering) / 소프트웨어융합학과 (Department of Software Convergence) / 인공지능컴퓨터전공 (Artificial Intelligence and Computer Major),한국어능력 장학금(신·편입생): TOPIK 4급 이상 → 수업료 100% 면제(최초 1개 학기) (외 1단계) / 영어능력 장학금(영어트랙): TOEFL PBT 603/iBT 100 → 수업료 100% 면제(최초 1개 학기) (외 3단계),2026 후기 외국인특별전형,https://drive.google.com/file/d/1PRToucvNNH5t5rvmvvl6kqi44Sa6n8ne/view
외국인,2026,,대구대학교,Daegu University,경상북도,5.5,3,Y,3666000,5351000,공직법무전공 (Public Service and Legal Affairs Major) / 컴퓨터정보공학부 (School of Computer and Information Engineering) / 컴퓨터공학전공 (Computer Engineering Major) / 컴퓨터소프트웨어전공 (Computer Software Major) / 사이버보안전공 (Cybersecurity Major) / 산업디자인학과 (Department of Industrial Design),"신·편입생 입학장학금(TOPIK): TOPIK 6 → 수업료 100%(첫 8개 학기) (외 3단계) / 신·편입생 입학장학금(영어성적, 국제대학 영어전용학과): IELTS 7.5 → 수업료 100%(첫 1개 학기) (외 5단계)",2026-2 외국인 (재외국민 2027 별도),https://drive.google.com/file/d/1oYNeTGWtUi12vSY4OONiEzThCWOo8rLW/view
외국인,2026,,대구한의대학교,DHU University,경상북도,5.5,2,Y,,,헤어메이크업디자인학과 (Department of Hair and Makeup Design),,2026 후기 외국인,https://drive.google.com/file/d/1MH5jrnU9u8XVk0CllyHc8KnzPAKTZH01/view
외국인,2026,,동명대학교,Tongmyong University,부산광역시,5.5,3,Y,3000000,4150000,헤어디자인학과 (Department of Hair Design) / 컴퓨터공학과 (Department of Computer Engineering) / 인공지능응용학과 (Department of Applied Artificial Intelligence) / 냉동공조공학과 (Department of Refrigeration and Air-Conditioning Engineering),외국인장학 A/B: TOPIK 4급 → 수업료 30% 감면 (외국인장학A) (외 5단계) / 유학생장학: TOPIK 6 → 50% 감면 (외 7단계),2026-2 외국인유학생 특별전형,https://drive.google.com/file/d/1ibetJN1QujTjqjGwilw8n3AryZuzL-6q/view
외국인,2026,,동서대학교,Dongseo University,부산광역시,5.5,3,,2921000,3993000,-소프트웨어전공 (Software Major) / 컴퓨터공학과 (Department of Computer Engineering),외국인신입생장학(한국어트랙): TOPIK 5급 이상 → 수업료의 100% 감면 (외 3단계) / 외국인신입생장학(영어트랙): IELTS 7.5 이상 → 수업료의 100% 감면 (외 3단계),2026 후기 외국인전형,https://drive.google.com/file/d/12A95LJp64ZUW342YW0MdtRBzt8-b6EiE/view
외국인,2026,,부산가톨릭대학교,Catholic University,부산광역시,,,Y,3135000,4011000,산업안전보건학과 (Department of Industrial Safety and Health) / 컴퓨터정보공학과 (Department of Computer and Information Engineering),외국인 유학생 CUP 스타트업 장학금: TOPIK 6 → 수업료 전액 (외 5단계),2026 전기 외국인 특별전형,https://drive.google.com/file/d/1dfHFbDa_P-HUWefQXBe1Dx03f7GpdG1T/view
외국인,2026,,상지대학교,Sangji University,강원도,5.5,3,Y,2975000,4654000,컴퓨터공학과 (Department of Computer Engineering) / 소프트웨어학과 (Department of Software),TOPIK 우수 장학금: TOPIK 4급 이상 → 수업료 50% 감면,2026 외국인모집요강,https://drive.google.com/file/d/10YZGbnfglDddk2KgNZcNKRo3kSTUJzIq/view
외국인,2026,,성결대학교,Sungkyul University,경기도,,4,,,,산업경영공학과 (Department of Industrial and Management Engineering) / 컴퓨터공학과 (Department of Computer Engineering) / 정보통신공학과 (Department of Information and Communication Engineering) / 미디어소프트웨어학과 (Department of Media Software),외국인 신입생 장학금: TOPIK 6급 → 등록금의 100% (외 3단계),2026-1 외국인 입학,https://drive.google.com/file/d/1k2bozu_7AapD8Txyec1Q2-3SPnDl_5kG/view
외국인,2026,,세명대학교,Semyung University,충청북도,5.5,3,,3169000,3987500,아트&산업디자인학과 (Department of Art & Industrial Design) / 컴퓨터학부 (School of Computer Science) / 산업디자인학과 (Department of Industrial Design),토픽장학금 (영어트랙 추가장학금): TOPIK 3급 → 총 40% 감면 (추가 10%) (외 3단계),2026 외국인,https://drive.google.com/file/d/1tZn1jpNKJgij1003TwW2w8itnshYbD0K/view
외국인,2026,,순천향대학교,SCH University,충청남도,5.5,5,Y,3524000,5443000,컴퓨터공학과 (Department of Computer Engineering) / 정보통신공학과 (Department of Information and Communication Engineering) / 컴퓨터소프트웨어공학과 (Department of Computer Software Engineering) / 정보보호학과 (Department of Information Security) / AI·빅데이터학과 (Department of AI and Big Data),신·편입생 입학장학금 (TOPIK): TOPIK 6급 → 140만원 지급 (외 3단계),2026-2 외국인 특별전형,https://drive.google.com/file/d/1ESlZmB01VVTAy0hKCLZSUIOlppgSIPHu/view
외국인,2026,,신경주대학교,SKU University,경상북도,5.5,2,Y,3255000,4525000,AI융합미디어창업학과 (Department of AI Convergence Media Entrepreneurship) / AI전기자동차학과 (Department of AI Electric Vehicles) / 산업안전보건학과 (Department of Industrial Safety and Health),외국인우수학생 장학금: TOPIK 6급 → 수업료 50% (외 7단계),2026-2 외국인 특별전형,https://drive.google.com/file/d/1G5SozN_A6gL21p8WySuq7tt95ljtUrcj/view
외국인,2026,,조선대학교,Chosun University,광주광역시,,3,Y,3025000,4181800,컴퓨터통계학과 (Department of Computer Science and Statistics) / 공공인재법무학과 (Department of Public Talent and Legal Affairs) / 산업공학과 (Department of Industrial Engineering) / AI소프트웨어학부 (School of AI Software) / 컴퓨터공학전공 (Computer Engineering Major) / 정보통신공학전공 (Information and Communication Engineering Major),입학장학금 (입학 첫 학기만 해당):   → TOPIK 4급 이상: 1종(등록금 전액) (외 2단계) / 성적장학금:   → GPA 4.2 이상: 1종(전액) (외 3단계),2026-2 외국인특별전형,https://drive.google.com/file/d/1p4w6hpZZuOqH-6nrUB8WTanhFe-VGU5v/view
외국인,2026,,한남대학교,Hannam University,대전광역시,5.5,3,Y,3545580,4530060,정보통신공학과 (Department of Information and Communication Engineering) / 컴퓨터공학과 (Department of Computer Engineering) / 산업경영공학과 (Department of Industrial and Management Engineering) / AI융합학과 (Department of AI Convergence) / 빅데이터응용학과 (Department of Big Data Application) / 법무법학전공 (Legal Affairs and Law Major),외국인 장학금(신입생 언어성적별): TOPIK 3급 취득자(또는 본교/한국어교육원 3급 이수) → 등록금 40% 감면 (외 4단계),2026 외국인 신입학,https://drive.google.com/file/d/1e7CIgdq9R7GK89avDQQ3x4ezl7pk4Jvb/view
외국인,2026,,한성대학교,Hansung University,서울특별시,5.5,3,Y,,,영상엔터테인먼트학과 (Department of Visual Entertainment) / SW융합학과 (Department of Software Convergence) / ICT디자인학부 (School of ICT Design) / 컴퓨터공학부 (School of Computer Engineering) / 산업시스템공학부 (School of Industrial Systems Engineering) / AI응용학과 (Department of AI Applications),입학장학금: TOPIK 6 → 수업료 100% 지급 (외 3단계) / 외국인 입학장학(다언어과정): TOPIK 4급 이상 → 수업료 80% 이내 (외 1단계),2026 순수외국인,https://drive.google.com/file/d/1YFLNV4OtqbaE--BhgbNaIWDKDG1-CmvV/view
외국인,2026,,협성대학교,Hyupsung University,경기도,5.5,,Y,,,컴퓨터공학과 (Department of Computer Engineering) / 소프트웨어공학과 (Department of Software Engineering) / 산업디자인학과 (Department of Industrial Design),"언어능력우수장학금: IELTS 5.5 → 등록금의 70% (외 3단계) / 외국인유학생 장학금: TOPIK 6급 → 1,600,000원 (외 2단계)",2026-2 순수외국인전형,https://drive.google.com/file/d/1oYKFunlyph_mG2GmJ5Nw3bwhUCmYVkRH/view
